,상품 이름,판매 가격,상품 설명,이미지
34,네이쳐스 본 치킨껌 20개입,"6,000원","네이쳐스 본 치킨껌은 가공 단계를 최소화한 고품질 치킨껌입니다. 원재료를 표백하지 않고 방부제 및 합성첨가제를 사용하지 않았으며, 반려견의 치아 건강 및 구취 제거에 도움을 줍니다. 단백질이 풍부하고 지방 함량은 낮은 닭가슴살과 천연 우피만을 사용하여 영양 성분을 보충해주고, 씹는 과정을 통해 반려견의 스트레스 해소에 효과적입니다. 직사광선을 피하여 건조하고 서늘한 곳에 보관해주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/58/57303_detail_01302591.jpg
35,리틀달링 고구마 사사미 300g,"2,500원","리틀달링 고구마 사사미는 생후 2개월 후 급여 가능하며, 양질의 순살코기살을 주원료로 고단백, 저지방의 다이어트 영양식입니다. 아미노산 함유로 두뇌신경 활동을 촉진하며, 콜라겐 등의 함유로 피부미용 증진효과가 증대됩니다. 특히, 풍부한 단백질 공급원으로 질병예방 효과 및 체중 조절견의 다이어트 식품으로 적합합니다. 제품에 흰색 분말이 생길 경우, 순 고기성분에서 나오는 아미노산 칼슘 결정체이오니, 안심하고 급여하셔도 좋습니다. 제품에 따라 다소 색조이 차이가 생길 수 있으나, 건조과정에서 생기는 현상이므로 품질에는 이상이 없으니 안심하고 급여하시기 바랍니다. 가급적 서늘한 곳에 보관하시고 진공포장을 개봉 후에는 최대한 빨리 급여하시고 밀봉하여 냉장 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/21/20442_detail_4046.jpg
36,굿프랜드 네츄럴 칼라 먼치껌 50개입,"2,200원","굿프랜드 네츄럴 칼라먼치껌은 100% 천연재료만을 생각한 엄선하여 신선도가 살아있는 양질의 소가죽으로 만들어져 애견들이 먹어도 무방하고 칼슘이 풍부한 최고급 품질의 껌입니다. 양질의 우피를 사용하여 씹기가 좋고 소화가 잘되며 건강한 치아단련, 치석제거, 턱의 강화와 스트레스 해소가 도움이 됩니다. 생후 2개월 이하 강아지에게는 급여하지 마시고, 직사광선, 고온다습의 장소를 피해 보관하여 주시기 바랍니다. 개봉 후에는 반드시 냉장보관하시고, 최대한 빨리 급여하시기 바랍니다. 한 봉지에 10개의 조각이 들어있습니다.",http://img.dogpre.com/web/dogpre/product/3/2632_detail_01194322.jpg
37,아침애 오리목뼈껌 소 80g,"3,500원","아침애 오리목뼈껌은 신선한 오리목뼈를 깨끗하게 손질한 후 건조해 만들었습니다. 오리목뼈는 단단하지 않은 약한 연골로 되어 있어 바삭하게 먹기 좋으며 목뼈 사이사이에 애견들이 좋아하는 맛이 숨어 있습니다. 씹어 먹으면서 치석 제거에 도움이 되며 스트레스 해소에도 좋습니다. 반려견의 칼슘 섭취에도 도움을 주는 간식입니다. 목뼈 껌을 처음 먹는 애견이나 급하게 먹는 버릇이 있는 애견들은 급여 시 곁에서 지켜봐 주시기 바랍니다. 아침愛 간식은 신선한 원재료의 맛을 그대로 살린 천연 수제간식입니다. 100% 국내 생산으로 맛과 품질이 우수하며 기호성이 뛰어난 건강 간식으로 반려동물의 건강을 위한 영양 만점 먹거리입니다. 직사광선이 닿는 장소나 해충이 있는 장소 등은 피하시고, 서늘하고 건조한 장소에 보관하시기 바라며, 개봉 후에는 냉장 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/24/23624_detail_01921439.jpg
38,천연 수제 돼지귀 껌 40g,"3,300원",천연 수제 돼지귀껌은 오랜 일본 수출의 기술력으로 신선한 국내산 돼지 귀를 건조시켜 만든 천연 수제 간식입니다. 풍부한 칼슘과 콜라겐이 함유된 고급 천연 덴탈 간식으로 스트레스 해소 및 치석제거에 효과가 뛰어납니다. 풍부한 콜라겐 함유로 피부 건강과 면역력 증진 및 연골에 함유된 칼슘 성분은 골격근 강화와 뼈 건강을 유지시켜 줍니다.,http://img.dogpre.com/web/dogpre/product/22/21588_detail_01657232.jpg
39,코코브라운 자연황태 황태&당근 70g,"2,500원","코코브라운 자연황태는 100% 신선한 국내산 황태만을 사용하고 눈 건강에 도움을 주는 타우린과 8가지 멀티 비타민을 함유하여 다이어트에 도움이 되는 건강한 기능성 간식입니다. 황태는 고단백, 저지방 식품으로 콜레스테롤이 거의 없고 영양가가 높아 신진대사를 활성화시켜 어린 애완동물부터 나이가 많은 애완동물까지 모두에게 좋습니다. 특히 간을 보호해주는 메타오닌 등 아미노산이 풍부합니다. 당근에는 혈액순환을 원할하게 하고 빈혈을 개선하는 철분과 눈의 피로와 시력개선 효과가 있는 비타민 A가 함유되어 있습니다. 또한, 간의 세포를 회복, 재생시켜주어 간기능 개선효과가 있으며,위와 장을 튼튼하게 하여 면역력 강화에도 도움이 됩니다. 풍부한 섬유질이 포만감을 유지해주어 다이어트에도 좋습니다.",http://img.dogpre.com/web/dogpre/product/26/25418_detail_01984547.jpg
40,바우와우 모짜렐라 치즈스틱 70g,"3,000원","바우와우 모짜렐라 치즈스틱은 국내산 모짜렐라 치즈를 64.7% 이상 함유한 애견을 위한 고품질 영양간식입니다. 단백질, 칼슘, 비타민A, 비타민B2 등이 풍부한 치즈를 스틱형태로 만들어 훈련시 간식으로 조금씩 떼어주거나 적당한 크기로 잘라 투약할 약을 숨겨 급여하셔도 좋습니다. 식염을 첨가하지않은 저염 간식으로 소화가 잘되 모든 연령의 애견이 즐길 수 있으며, 소시지 포장 후 멸균한 제품으로 보존료나 방부제를 사용하지 않았습니다. 애완동물용 제품이므로 애완동물 이외에는 급여하지 마시고, 습기나 직사광선에 장시간 노출되지 않도록 보관하여 주세요. 개봉후에는 냉장보관하거나 최대한 빨리 급여하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/46/45323_detail_01902237.jpg
41,식탐 혼합간식 150g,"1,900원","식탐 혼합간식은 신선한 원료만을 엄선하여 철저하게 위생, 관리, 생산된 100% 국내산 저키 입니다. 비타민B가 풍부한 고단백 닭고기를 사용하여 신진대사 활성화와 피부, 치아, 뼈의 성장에 도움을 주며, 콜라겐 성분이 들어 있어 피부와 피모건강에 도움을 주고, 타 육류보다 섬유질이 가늘고 연해서 소화흡수가 잘 되어 반려동물의 체력 증진에 도움을 줍니다. 오메가3 지방산이 다량 함유되어 있는 연어를 사용하여 심장질환, 비만을 예방하는데 도움을 주며, 뇌세포를 활성화하는 DHA가 풍부한 식품입니다. 말랑말랑한 소프트타입의 간식으로 어린 반려동물부터 나이가 많아 치아가 걱정되는 반려동물까지 부담 없이 급여할 수 있는 저키 입니다.",http://img.dogpre.com/web/dogpre/product/45/44297_detail_01597994.jpg
42,퓨리나 덴탈라이프 스몰&미디움 독 트릿 10개입,"10,000원","퓨리나 덴탈라이프는 구강관리에 도움을 주는 영양 간식입니다. 침과 음식물이 가장 오래 머무는 안쪽 어금니까지 닦아주는 8면의 돌출 구조로 플라그와 치석제거에 효과적입니다. 또한, 다공성의 쫄깃한 식감으로 잇몸 끝까지 케어해주는데 도움이 됩니다. 총 2번의 테스트를 거쳐 치석제거의 효과를 입증하고 2번 모두 기준을 통과한 경우에만 발급해주는 미국 수의 구강건강 위원회 (VOHC) 인증 마크를 획득하였습니다. 12개월 이상의 반려견에게 급여를 권장 드리며, 직사광선이 닿는 장소 및 해충이 있는 장소를 피하여 서늘하고 건조한 장소에서 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/59/58618_detail_01798364.jpg
43,내추럴EX 불리스틱 초소형 1개입,"1,400원","내추럴EX 불리스틱은 순수 국내산 한우로 만든 고단백 저칼로리 애견간식으로 조단백이 80%이상 함유되어 기호성이 탁월하며, 플라그제거 등 치아건강에 도움을 주고, 질긴 근육조직으로 반려견이 장시간 씹을 수 있어 스트레스 해소에 좋습니다. EX 제품의 경우 인공이 아닌 자연 그대로의 제품으로 만들어져 제품마다 크기, 모양, 중량이 차이가 있으며, 인공첨가물, 발색제, 방부제를 일체 사용하지 않고, 재료 본연의 맛과 향을 살린 애견 간식입니다. 간혹 제품 표면에 하얗거나 검은 색깔이 나타날 수 있으나, 성분의 일부이니 안심하고 급여하셔도 되며, 서늘하고 건조한 곳에 보관하시고 유효기간을 준수해주세요. 반려동물이 씹지않고 급하게 섭취할 경우 목에 걸려 심각한 상해가 발생할 수 있으니 급여시 주의가 필요합니다.",http://img.dogpre.com/web/dogpre/product/47/46919_detail_01175200.jpg
44,퓨어비타 힙&조인트 트릿 179g,"5,900원","퓨어비타 힙&조인트 트릿은 애견의 건강한 관절을 위한 간식입니다. 자연성분인 생닭의 연골로 만들며, 생닭에서 추출한 글루코사민과 콘드로이친이 관절과 연골을 튼튼하게 만들어 관절염과 탈골 예방에 효과적입니다. 또한, 함유되어 있는 아사이베리와 석류, 비타민C는 항산화 작용과 함께 면역력 체계 강화, 체질개선 및 체중조절을 위한 다이어트 식단으로 좋은 효과를 나타냅니다. 더불어 고소한 훈제향이 납니다.",http://img.dogpre.com/web/dogpre/product/10/9615_detail_01598495.jpg
45,무아지경 치킨&라이스 훈제저키 10g,300원,"무아지경 치킨&라이스는 애견, 애묘들이 가장 좋아하는 닭가슴살을 독자적인 기술로 가공한 새로운 훈제 타입의 고급 간식입니다. 고단백, 저지방, 저염분으로 향신료를 일체 사용하지 않았으며 비타민E, 미네랄, 칼슘을 풍부하게 함유하고 있어, 스테미너 보급과 다이어트, 발육, 식욕부진에 좋은 건강식품으로 회복중인 애완동물의 영양 보급에도 좋습니다. 니다. 과식에 의한 설사 위험이 있으니 적당히 급여해 주시기 바랍니다. 자연건조식품이므로 모양과 사이즈가 다소 차이가 날 수 있습니다.",http://img.dogpre.com/web/dogpre/product/3/2003_detail_01559112.jpg
46,코코브라운 자연황태 황태&브로컬리 70g,"2,500원","코코브라운 자연황태는 100% 신선한 국내산 황태만을 사용했습니다. 눈 건강에 도움을 주는 타우린과 8가지 멀티 비타민을 함유한, 다이어트에 도움이 되는 건강한 기능성 간식입니다. 황태는 고단백, 저지방 식품으로 콜레스테롤이 거의 없고 영양가가 높아 신진대사를 활성화시켜 어린 반려동물부터 나이가 많은 반려동물 모두에게 좋습니다. 특히 간을 보호해주는 메타오닌 등 아미노산이 풍부합니다. 브로컬리에는 설포라판이라는 성분이 함유되어 있어 유방암, 방광암 등 각종 암 예방에 효과가 있으며, 몸의 노화를 촉진하는 활성산소를 억제 해독하는 효과도 있습니다. 또한 노화방지에 좋은 비타민A와 위염, 위계양을 예방, 치료하는 비타민U도 함유하고 있습니다.",http://img.dogpre.com/web/dogpre/product/26/25417_detail_01235200.jpg
47,미스터 쿡 소고기 스테이크 300g,"2,800원","미스터 쿡 소고기는 신선한 원료를 엄선하여 정성껏 만든 고단백, 저지방 영양간식으로 천연 콜라겐 함유로 피부 건강에 탁월하며, 전분을 사용한 간식과 달리 찢었을때 결이 살아있습니다. 또한, 반려동물의 성장발육과 부족한 영양공급에 도움을 주고, 저지방, 저염분으로 체내에 부담이 적습니다. 직사광선을 피하여 유, 소아의 손이 닿지 않는 곳에 보관해주시고, 제품 표면에 하얀 성분이 보일 수 있으나 제품의 특성상 생길 수 있는 현상이므로 안심하고 급여해주세요. 권장량 이상 급여 시 소화 장애를 일으킬 수 있으니 일일 급여량을 맞춰 주시고, 생후 3개월 미만의 어린 강아지에게 급여하지 마십시오.",http://img.dogpre.com/web/dogpre/product/49/48446_detail_01619833.jpg
48,콜라겐홀릭 말랑 돼지껍데기 고구마 20개입,"3,700원","콜라겐홀릭 말랑 돼지껍데기 고구마는 100% 국내산 돼지껍데기를 사용하였으며 노화예방 및 피부에 좋은 콜라겐이 함유된 말랑말랑한 소프트 타입의 고구마맛 돼지껍데기 껌입니다. 소화흡수율이 뛰어나 위장에 부담이 없고 식이섬유의 첨가로 배변활동을 원활하게 도와주며, 씹으면 씹을수록 쫄깃쫄깃한 맛이 더해집니다. 소형견 및 노형견을 위해 부드럽게 만든 제품이며 급여하기 편한 스틱타입으로, 애완동물의 크기, 연령, 운동량에 따라 다르니 먹고 남기거나 변의 상태 또는 계절이나 몸상태에 맞춰 적당량을 급여하여 주십시오. 개봉전엔 직사광선을 피해 서늘한 곳에 보관하시고, 개봉후에는 냉동보관 하면서 가급적 빨리 급여하십시오. 품질 및 포장에 안전을 기하기 위해 본품에는 탈산소제를 삽입하고 봉투 내에는 산소가 없는 상태로 신선도를 유지하므로 수송도중 포장지에 상처가 난 경우 변색될 수 있으므로 그때는 급여치 마시고 판매처 또는 제조사에 연락하여 교환바랍니다.",http://img.dogpre.com/web/dogpre/product/26/25595_detail_6539.jpg
49,오리사랑 오리사사미 400g,"4,000원","오리사랑 오리사사미는 신선한 고기만을 엄선하여, 혼합 건조시킨 최고급 간식으로 면역 개선과 노화 방지에 탁월한 고급 영양 간식입니다. 고단백, 저지방, 저염분 간식으로 반려견 체내에 부담이 적고, 균형잡힌 영양을 공급하여 발육 촉진과 튼튼한 치아 형성에도 좋습니다. 간혹 제품별 다소 색상의 차이가 있으나 품질에는 문제가 없으며, 표면에 하얀 성분이 나타날 수 있으나 제품의 특성상 생기는 현상이므로 안심하고 급여해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/23/22339_detail_5835.jpg
50,구루머스 치킨 우유껌 2개입,"1,300원","구루머스 치킨 우유껌은 고단백 저지방의 닭가슴살과 천연 우육피로 만들어진 애견을 위한 기능성 간식입니다. 엄선된 순닭고기 가슴살에서 추출된 다량의 단백질, 비타민, 칼슘을 함유하여 애견의 부족한 영양성분을 보충해주고 치아의 잇몸을 건강하게 하여 치석, 충치, 잇몸의 농예방과 제거에 도움을 줍니다. 애견용이므로 사람은 먹지 말고, 아이가 줄 때에는 어른이 보는 앞에서 주고 애견을 흥분시키지 않도록 하십시오. 본 제품은 자연식품을 주원료로 하기 때문에 보관상태에 따라 변색, 혹은 곰팡이가 발생할 우려가 있으니 그러한 경우에는 애견에게 먹이지 않도록 하고, 과식에 의한 설사 위험이 있으니 적당량을 급여해 주십시오. 자연건조식품이므로 모양과 사이즈가 다소 차이가 날 수 있습니다. 본상품은 리뉴얼되어 기존의 포토 후기 이미지와 다소 차이가 있을 수 있습니다.",http://img.dogpre.com/web/dogpre/product/19/18982_detail_01635509.jpg
51,네이쳐스 본 오리껌 15개입,"6,000원","네이쳐스 본 오리껌은 가공 단계를 최소화한 고품질 오리껌입니다. 원재료를 표백하지 않고 방부제 및 합성첨가제를 사용하지 않았으며, 반려견의 치아 건강 및 구취 제거에 도움을 줍니다. 불포화지방산을 함유하고 있으며 고단백 저지방 저염분으로 비만예방에 도움을 주고, 씹는 과정을 통해 반려견의 스트레스 해소에 효과적입니다. 직사광선을 피하여 건조하고 서늘한 곳에 보관해주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/57/56649_detail_01372431.jpg
52,바우와우 치즈소시지 14개입,"2,600원","바우와우 치즈소시지는 사람이 먹는 치즈 소시지와 달리 애견의 건강을 위해 지방과 염분을 대폭 줄여 애견의 비만이나 체중 증가를 억제해 주며, 각종 기능성 소재를 첨가한 저지방, 저칼로리의 부드러운 간식입니다.",http://img.dogpre.com/web/dogpre/product/23/22464_detail_01262722.jpg
53,도기맨 칠면조힘줄 스틱 10개입,"7,300원","취형과 식성을 교려해 다양한 눈높이에서 엄선되는 ANF 간식은 좋은 원료의 신선함과 영양을 그대로 살려 주요영양소가 적절하게 배합된 영양간식입니다. 도기맨 칠면조힘줄 스틱사사미는 닭연골과 생선연골이 함유되어 뼈 건강에 도움이 되며, 오래 씹을 수 있어 애견의 스트레스 해소나 치석 제거에도 효과적인 간식입니다.",http://img.dogpre.com/web/dogpre/product/1/896_detail_6839.jpg
54,버디펫푸드 비스켓 사사미 400g,"3,800원","버디펫푸드 비스켓 사사미는 기존 제품보다 수분 함량이 낮아져 기존 습식에서 건식 간식으로 변경되었습니다. 기존 달큰한 숯불향에서 강아지들이 좋아하는 시큼한 향으로 변경되었으며, 간혹 사람이 맡기에는 많이 시큼한 향 일수 있으나, 이는 변질된 것이 아니니 안심하고 급여바랍니다. 버디 펫푸드 시리즈는 엄선된 원료만을 사용한 수퍼 프리미엄 영양식으로써, 닭고기의 풍부한 영양과 맛을 드립니다. 양질의 닭고기 가슴살을 주원료로 사용하여 고단백, 저지방, 다이어트 영양식으로 높은 기호성의 간식이며, 4묶음으로 나눠져 포장되어 있습니다. 생후 2개월 전의 젖 떼기 전 강아지와 반추 가축에는 급여하지 마시기 바랍니다. 애견이 급하게 과식하지 않도록 주의해주시고, 제품에 흰색 분말이 생길 경우 순 닭고기 성분에서 나오는 아미노산, 칼슘 결정체이오니 안심하고 급여하셔도 좋습니다. 제품 신선 보존을 위한 탈산소제는 식용이 아니며, 애견이 급식 중 토하는 등의 이상증세를 보일 경우 급여를 중지하시고 수의사와 상담하시기 바랍니다. 제품에 따라 다소 색조의 차이가 생길 수 있으나, 건조 과정에서 생기는 현상이므로 품질에는 이상이 없으니, 안심하고 급여해주시되, 어린이는 먹지 않도록 주의해 주시기 바랍니다. 본 제품의 총중량은 400g, 실중량은 260g으로 구매시 참고부탁드립니다. 제품의 기호성이 우수하므로 과식에 의한 설사 위험이 있으니 적당히 급여하십시오. 자연건조식품이므로 모양과 사이즈가 다소 차이가 날 수 있습니다.",http://img.dogpre.com/web/dogpre/product/10/9883_detail_8181.jpg
55,그리니즈 오리지널 티니 130개입,"51,790원","그리니즈 오리지널 덴탈껌은 씹는 운동만으로도 반려견의 구강 구석구석을 깨끗하게 해주고 씹기를 좋아하는 애견들의 욕구를 만족시키는 뛰어난 질감을 가지고 있습니다. 80% 이상의 애견이 3세가 되면 잇몸질환 증세를 보입니다. 이러한 애견 치아 및 잇몸질환 관리의 최선은 예방이며, 그리니즈는 치석 60%, 플라그 33%, 입냄새 45% 이상의 개선효과와 입냄새를 제거해 반려견의 치아건강을 지켜줍니다. 또한, 미국 수의 구강협회가 인증한 제품이며 빠르게 분해, 흡수되는 최고급의 수용성 단백질은 애견의 완벽한 소화흡수를 가능하게 하여 건강에 도움을 줍니다. 직사광선이 닿는 장소, 해충이 있는 장소를 피해 건조하고 서늘한 장소에 보관하여 주십시오.",http://img.dogpre.com/web/dogpre/product/57/56070_detail_01890127.jpg
56,네츄럴코어 하루유산균 리얼미트 혼합 12개입,"3,600원","네츄럴코어 하루유산균 리얼미트는 살아있는 생 유산균과 가수분해 육류를 사용한 저알러지 껌 간식으로 장이 약한 아이 또는 일시적인 설사 증상 호전에 도움을 주며, 건강한 비타민 및 영양소를 제공합니다. 또한, 천연 소재 매스틱 오일이 첨가되어 치석제거 및 입냄새 감소에 탁월하며, 소염, 항균(프로폴리스의 15배 효과)과 위장 건강에 도움을 줍니다. 오메가3 지방산과 불포화 지방산이 풍부하여 피부재생, 뇌세포 활성, 고지혈증, 동맥경화 예방에 탁월합니다. 글루텐, 방부제, 부산물, 인공색소, 화학 보습제 등을 일절 사용하지 않았습니다. 고온 다습한 곳은 피해 주시고, 제품 개봉 후에는 가급적 냉장 보관해주시기 바랍니다. 어린 강아지에게 급여 할 때는 조금씩 나눠서 급여해 주세요.",http://img.dogpre.com/web/dogpre/product/52/51750_detail_01324788.jpg
57,구루머스 고구마 사사미 400g,"3,800원","구루머스 고구마 사사미는 오븐에서 14시간 이상 저온 가열하여 더욱 고소하고 담백한 맛의 고급 영양 간식입니다. 양질의 닭고기 가슴살을 주원료로 사용하였고, 높은 기호성의 고단백, 저지방, 다이어트 영양식으로 제품에 흰색 분말이 생길 경우, 순 닭고기 성분에서 나오는 아미노산, 칼슘 결정체이오니 안심하고 급여하셔도 좋습니다. 자연건조식품이라 모양과 사이즈가 다소 차이가 날 수 있습니다. 또한 제품에 따라 다소 색조의 차이가 생길 수 있으나, 건조 과정에서 생기는 현상이므로 품질에는 이상이 없으니, 안심하고 급여하십시오. 애견이 급하게 과식하지 않도록 주의하시기 바라고, 급식 중 토하는 등의 이상증세를 보일 경우 급여를 중지하시고 수의사와 상담하시기 바랍니다. 생후 2개월 전, 젖 떼기 전 강아지나 반추 가축에게 급여하지 마시고, 기호성이 좋아 과식에 의한 설사 위험이 있으니 적당량을 급여해 주십시오. 개봉 후 반드시 냉장보관해 주십시오. 4개 묶음으로 나눠져 있으며 제품 신선 보존을 위한 탈산소제는 식용이 아닙니다.",http://img.dogpre.com/web/dogpre/product/19/18198_detail_01298745.jpg
58,"네츄럴코어 미트스틱 4종 콤보, 20개","9,000원","네츄럴코어 미트스틱은 닭가슴살을 사용하여 더욱 단백하고 고소하며, 부드러운 식감으로 치아가 약한 어린 강아지나 노령견도 쉽게 먹을 수 있습니다. 100% 멸균 레토르트 공법으로 생산하여 미생물의 오염으로부터 안전하고, 깔끔하고 신선상 진공 포장은 지방산폐로 인한 아토피 등의 피부질환 발생 감소에 도움을 줍니다. 직사광선을 피해 서늘한 곳에 보관하시고, 개봉 후 냉장보관하면서 가급적 빨리 급여하십시오.",http://img.dogpre.com/web/dogpre/product/52/51630_detail_01881280.jpg
59,더독 더꾸이 독꾸이 황태 30g,"2,500원","더독 더꾸이 독꾸이 황태는 생선살이 91% 이상 함유된 영양 간식입니다. 기름에 튀기지 않고 오븐에 구워서 바삭한 식감으로 씹는 재미가 있으며 담백하고 고소한 맛이 일품입니다. 치아가 안좋은 반려견에게는 가루로 으깨어 사료 또는 간식과 함께 급여 가능하며 펫밀크에 섞어서 후레이크처럼 색다르게 즐길 수도 있습니다. 첨가물을 최소화하여 걱정 없이 칭찬용, 훈련용, 다이어트용으로 활용 가능합니다.",http://img.dogpre.com/web/dogpre/product/64/63427_detail_01191581.jpg
60,[ 1 + 1 ] 펫아이디얼 도그 너겟 자색고구마 100g,"4,200원","펫아이디얼 너겟 자색고구마는 자색고구마, 닭고기, 검은깨 등을 사용하여 만든 너겟형 영양 간식입니다. 닭고기의 가는 섬유질이 소화흡수율 향상에 도움을 주며, 풍부한 오메가3 지방산이 피부 및 피모 개선에 효과적입니다. 또한 소프트한 타입으로 치아가 약한 반려견도 급여 가능하며, 지퍼백 포장으로 급여 및 보관이 용이합니다. 직사광선을 피해 건조하고 서늘한 곳에 보관해주고, 개봉 후에는 가급적 빠른 시일 내에 급여해주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/64/63337_detail_01047329.jpg
61,네츄럴코어 마이스낵 황태 웨이브 80g,"3,200원","네츄럴코어 마이스낵 황태 웨이브 80g은 ISO9001 인증을 받은 상품으로 깨끗한 원료를 엄선하여 입고 단계부터 철저하게 관리, 생산한 새로운 스타일의 반려동물 제품입니다. 국내산 닭가슴살에 황태를 넣어 만든 영양간식으로, 황태는 메티오닌과 같은 아미노산이 풍부하여 간 겅강에 도움을 주며, 고단백, 저지방, 저콜레스테롤 식품으로 심혈관질환 예방에 도움이 됩니다. 이눌린은 장내 유산균을 5-10배 증가시키고 유해균은 감소시켜 장내 환경을 개선해주며, 변비, 비만, 체질개선, 다이어트에도 도움이 됩니다. 본 제품은 차별환된 저온건조 공법으로 제조되어 영양소 파괴를 최소화하고 기호성 또한 높였습니다. 제조사인 H&F는 깐깐한 일본으로 반려동물용 식품을 수출하는 자랑스러운 우리 기업입니다. 'Clean, Natural, Fresh'의 기업이념에 따라 모든 상품을 제조하여 안심하고 급여하실 수 있습니다.",http://img.dogpre.com/web/dogpre/product/32/31871_detail_01239025.jpg
62,덴티후레쉬 블루베리 250g,"5,900원","덴티후레쉬 블루베리는 국내산 쌀, 보리, 현미를 사용하여 알레르기 반응이 없으며, 8가지 멀티비타민과 타우린, L-카르니틴 등 30가지 기능성 원료를 사용하여 건강에 더욱 도움을 줍니다. 오메가 3&6 오일을 첨가하여 피부와 모질을 건강하게 해주며, 무염 고다치즈를 첨가하여 필요한 영양소를 충분히 공급해 줍니다. 신선한 우유에서 추출한 유청 단백질은 필수아미노산, 비타민, 무기질과 초유의 면역 글로불린이 함유되어 있어 면역력을 개선시켜 줍니다. 플라그 생성억제 첨가물 사용으로 구강관리에 도움이 되며, 말랑말랑 부드러워 생후 6개월 이상 어린 강아지부터 노령견까지 급여가 가능합니다. 또한, 올리고당과 식이섬유함유로 소화촉진과 영양흡수에 좋습니다. 개봉 후에는 온도 및 습도에 따라 변질의 우려가 있으니 반드시 뚜껑을 닫아 냉장보관하시고 가급적 빨리 급여해 주십시오. 본상품은 리뉴얼 되어 메인컷과는 일부 이미지가 다를 수 있는 점 참고 부탁드리며, 성분 및 원료는 동일합니다.",http://img.dogpre.com/web/dogpre/product/24/23659_detail_01621049.jpg
63,리틀달링 칼슘본 사사미 300g,"2,500원","리틀달링 칼슘본 사사미는 양질의 순살코기살을 주원료로 한 고단백, 저지방의 다이어트 영양식입니다. 아미노산을 함유하여 두뇌신경 활동을 촉진하며, 콜라겐 등의 함유로 피부미용 효과가 증대되고 풍부한 단백질 공급원으로 질병예방 효과 및 체중 조절견의 다이어트 식품으로 적합합니다. 제품에 흰색 분말이 생길 경우, 순 고기성분에서 나오는 아미노산 칼슘 결정체이오니, 안심하고 급여하셔도 좋습니다. 또한, 제품에 따라 다소 색조 차이가 생길 수 있으나, 건조 과정에서 생기는 현상이므로 품질에는 이상이 없으니 안심하고 급여해 주시기 바랍니다. 가급적 서늘한 곳에 보관해 주시고 진공포장을 개봉 후에는 최대한 빨리 급여하시고 남은 제품은 밀봉하여 냉장 보관해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/21/20444_detail_4677.jpg
64,에프디트릿 순살닭고기&호박 95g,"6,800원","에프디트릿 순살닭고기&호박은 100% 순수한 재료만을 담은 높은 단백질 천연간식으로 HACCP 인증시설에서 제조되고, 새로 개발된 동결건조 기계에서 엄중한 관리하에 건조됩니다. 동결건조는 동결상태에서 승화시킨 것으로 원재료의 맛과 향을 파괴하지 않는 건조기술로 형태나 조직의 변화가 없고, 다른 첨가물이나 화학제품이 없기 때문에 안전하며, 수분이 거의 제거되어 가볍고 보관시에 편리합니다. 호박은 당질과 단백질, 비타민, 미네랄 등을 포함하여 신장질환을 예방하고 소화흡수를 도우며 비타민 A, C가 장의 활동을 도와 장건강에 도움이 됩니다. 제조일로부터 2년까지 보관이 가능하며 직선광선을 피해 서늘한 곳에 보관 하시기 바랍니다. 잘게 부숴 주시거나, 따뜻한 물에 살짝 불려서 주시면 더욱 기호성이 좋습니다.",http://img.dogpre.com/web/dogpre/product/52/51690_detail_01113307.jpg
